127.0.0.1 - - [08/Mar/2018:16:51:32 +0800] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [08/Mar/2018:16:51:34 +0800] "GET /YouBike/ HTTP/1.1" 200 3219
0:0:0:0:0:0:0:1 - - [08/Mar/2018:16:51:34 +0800] "GET /YouBike/css/youBike.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2018:16:51:40 +0800] "GET /YouBike/ HTTP/1.1" 200 3219
0:0:0:0:0:0:0:1 - - [08/Mar/2018:16:51:40 +0800] "GET /YouBike/css/youBike.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2018:16:51:41 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126446
0:0:0:0:0:0:0:1 - - [08/Mar/2018:16:51:41 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126446
0:0:0:0:0:0:0:1 - - [08/Mar/2018:16:52:03 +0800] "GET /YouBike/ HTTP/1.1" 200 3219
0:0:0:0:0:0:0:1 - - [08/Mar/2018:16:52:03 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126446
0:0:0:0:0:0:0:1 - - [08/Mar/2018:16:55:58 +0800] "GET /YouBike/ HTTP/1.1" 200 3284
0:0:0:0:0:0:0:1 - - [08/Mar/2018:16:55:58 +0800] "GET /YouBike/plugin/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [08/Mar/2018:16:55:58 +0800] "GET /YouBike/css/youBike.css HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [08/Mar/2018:16:55:58 +0800] "GET /YouBike/plugin/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 551641
0:0:0:0:0:0:0:1 - - [08/Mar/2018:16:56:00 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126446
0:0:0:0:0:0:0:1 - - [08/Mar/2018:16:56:02 +0800] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [08/Mar/2018:16:56:16 +0800] "GET /YouBike/ HTTP/1.1" 200 3278
0:0:0:0:0:0:0:1 - - [08/Mar/2018:16:56:16 +0800] "GET /plugin/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [08/Mar/2018:16:56:16 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126446
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:00:01 +0800] "GET /YouBike/ HTTP/1.1" 200 2711
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:00:01 +0800] "GET /YouBike/plugin/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:00:01 +0800] "GET /YouBike/plugin/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:00:01 +0800] "GET /YouBike/plugin/bootstrap/js/bootstrap.min.js.map HTTP/1.1" 200 161998
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:00:01 +0800] "GET /YouBike/plugin/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 304 -
